Axial load (kN),lat disp top (mm),Lat drift,Lat Load_Resultant (kN),Total Load (kN)
249.921407,-0.241407035,-0.009954929,-41.68469802,-41.68469802
249.9379109,-0.239171099,-0.009862726,-41.76843816,-41.76843816
249.9049304,-0.240499196,-0.009917493,-41.54931041,-41.54931041
249.91627,-0.24834234,-0.010240921,-41.89259833,-41.89259833
249.8733707,-0.246381292,-0.010160053,-42.79022729,-42.79022729
249.920232,-0.232982155,-0.009607512,-41.53137873,-41.53137873
249.8834534,-0.239980562,-0.009896106,-41.47185407,-41.47185407
249.8565662,-0.242294787,-0.009991538,-41.01163621,-41.01163621
249.9012142,-0.239638973,-0.009882019,-43.02886091,-43.02886091
249.9423101,-0.238844993,-0.009849278,-41.32596946,-41.32596946
249.8830709,-0.248820205,-0.010260627,-43.68066699,-43.68066699
249.9063786,-0.252028936,-0.010392946,-43.35359778,-43.35359778
249.8973888,-0.253353267,-0.010447557,-45.32723928,-45.32723928
249.8773327,-0.265155954,-0.010934266,-43.78476334,-43.78476334
249.8491067,-0.253113013,-0.01043765,-42.62712648,-42.62712648
249.8731795,-0.267468242,-0.011029618,-43.34233904,-43.34233904
249.8692174,-0.266407678,-0.010985884,-42.33237567,-42.33237567
249.8435325,-0.264056025,-0.010888908,-43.559186,-43.559186
249.8752835,-0.275259923,-0.011350925,-44.23976993,-44.23976993
249.8519484,-0.281845674,-0.011622502,-43.47103563,-43.47103563
249.8347887,-0.282336734,-0.011642752,-42.46691858,-42.46691858
249.8275477,-0.278985789,-0.011504569,-42.97432105,-42.97432105
249.9232924,-0.277132673,-0.011428151,-43.36911644,-43.36911644
249.874491,-0.277647464,-0.01144938,-45.37487735,-45.37487735
249.8717586,-0.281434425,-0.011605543,-43.91045156,-43.91045156
249.8763218,-0.276307774,-0.011394135,-43.62310479,-43.62310479
249.8072731,-0.280715067,-0.011575879,-44.96831056,-44.96831056
249.8762125,-0.283385122,-0.011685984,-44.03638354,-44.03638354
249.8722232,-0.293823108,-0.012116417,-43.54518659,-43.54518659
249.8291598,-0.298526349,-0.012310365,-46.46122379,-46.46122379
249.8508008,-0.302591807,-0.012478013,-45.02673836,-45.02673836
249.8046226,-0.304808306,-0.012569415,-44.65322296,-44.65322296
249.8392972,-0.305044067,-0.012579137,-48.68813314,-48.68813314
249.8303622,-0.305223148,-0.012586522,-45.28522679,-45.28522679
249.8527135,-0.309966774,-0.012782135,-46.71260984,-46.71260984
249.8424942,-0.309514606,-0.012763489,-47.50220885,-47.50220885
249.8463469,-0.317172798,-0.013079291,-42.76108705,-42.76108705
249.8427401,-0.317112315,-0.013076797,-44.7516395,-44.7516395
249.8608288,-0.314195162,-0.012956502,-46.34192821,-46.34192821
249.8570582,-0.321030779,-0.013238383,-44.17167753,-44.17167753
249.8167546,-0.320139157,-0.013201615,-45.25476005,-45.25476005
249.7767791,-0.315926953,-0.013027916,-45.23819516,-45.23819516
249.8706656,-0.321520049,-0.013258559,-45.85566386,-45.85566386
249.8761032,-0.318348257,-0.013127763,-44.46220039,-44.46220039
249.7791563,-0.322674708,-0.013306174,-43.94378274,-43.94378274
249.8787263,-0.322584191,-0.013302441,-44.37875483,-44.37875483
249.819487,-0.322323875,-0.013291706,-47.20661843,-47.20661843
249.8539977,-0.326310247,-0.013456093,-45.47233759,-45.47233759
249.8537792,-0.324220778,-0.013369929,-43.978742,-43.978742
249.8473853,-0.326086111,-0.01344685,-43.36342613,-43.36342613
249.8097323,-0.32569916,-0.013430893,-48.26801235,-48.26801235
249.7901134,-0.327047158,-0.013486481,-45.37958189,-45.37958189
249.7726532,-0.326672434,-0.013471028,-46.07372461,-46.07372461
