Axial load (kN),lat disp top (mm),Lat drift,Lat Load Act 3_ EW (kN),Total Load (kN)
245.2887009,0.441169,0.018192536,30.01513938,30.01513938
245.2995213,0.448834,0.018508619,32.11075782,32.11075782
245.2545729,0.452034,0.018640577,31.10016506,31.10016506
245.2823069,0.458492,0.018906887,31.23040916,31.23040916
245.2870614,0.456401,0.01882066,31.43206352,31.43206352
245.2421675,0.449345,0.018529691,33.37984167,33.37984167
245.2710221,0.454448,0.018740124,33.20323218,33.20323218
245.1916996,0.462455,0.019070309,34.76670117,34.76670117
245.1940768,0.455787,0.01879534,34.03424677,34.03424677
245.2129032,0.461077,0.019013485,35.08397214,35.08397214
245.1565332,0.461462,0.019029361,35.07290706,35.07290706
245.1728184,0.462803,0.01908466,34.59041554,34.59041554
245.0898891,0.464438,0.019152082,38.38595431,38.38595431
245.2026293,0.485661,0.020027258,37.55839418,37.55839418
245.1683099,0.488972,0.020163794,35.54152674,35.54152674
245.1247003,0.496711,0.020482928,36.37497025,36.37497025
245.110847,0.510494,0.021051299,38.11785549,38.11785549
245.1286624,0.501741,0.020690351,35.89555536,35.89555536
245.068221,0.505882,0.020861113,37.48719983,37.48719983
245.0911734,0.508341,0.020962515,38.13928396,38.13928396
245.0802983,0.511731,0.021102309,39.95179824,39.95179824
245.019611,0.516991,0.021319216,37.44078047,37.44078047
245.0691772,0.510078,0.021034144,38.15795966,38.15795966
245.0644776,0.512289,0.02112532,39.76072318,39.76072318
245.0560616,0.515577,0.021260907,40.19539196,40.19539196
245.0658164,0.515234,0.021246763,39.0736626,39.0736626
245.0422629,0.520137,0.021448948,40.95931437,40.95931437
245.0341748,0.525686,0.021677773,39.38434849,39.38434849
245.1304385,0.522876,0.021561897,43.00705609,43.00705609
244.9860839,0.524316,0.021621278,41.28079547,41.28079547
245.0188459,0.526643,0.021717237,40.89206027,40.89206027
245.0320436,0.523305,0.021579588,40.25643882,40.25643882
244.9755096,0.530957,0.021895134,42.595597,42.595597
245.0265787,0.530561,0.021878804,43.8132957,43.8132957
244.9897455,0.538123,0.022190639,41.52422725,41.52422725
245.0930587,0.539103,0.022231052,43.49116689,43.49116689
244.9602352,0.544926,0.022471175,44.51298666,44.51298666
245.0041728,0.542395,0.022366804,43.28648988,43.28648988
245.0661716,0.549638,0.022665485,42.54178292,42.54178292
244.9624484,0.546982,0.022555959,44.21736008,44.21736008
245.0213597,0.549592,0.022663588,43.71505936,43.71505936
244.9720666,0.549039,0.022640784,44.72322321,44.72322321
244.91944,0.560019,0.023093567,44.93275806,44.93275806
245.0386287,0.55352,0.022825567,43.1134428,43.1134428
245.0308139,0.559044,0.023053361,44.95170364,44.95170364
244.9056686,0.557634,0.022995216,45.14024183,45.14024183
244.9550436,0.570155,0.023511546,46.53476592,46.53476592
244.9152594,0.568755,0.023453814,45.20760388,45.20760388
244.9459173,0.563228,0.023225897,46.07877662,46.07877662
244.938649,0.560914,0.023130474,45.74795768,45.74795768
244.8904216,0.573865,0.023664536,45.99894611,45.99894611
244.923648,0.572148,0.023593732,45.71130797,45.71130797
244.8630427,0.572727,0.023617608,45.54209319,45.54209319
244.9200138,0.576098,0.023756619,45.967694,45.967694
244.8284227,0.571964,0.023586144,46.89894203,46.89894203
244.991467,0.57715,0.0238,45.72728487,45.72728487
244.8543807,0.565996,0.023340041,48.46931995,48.46931995
244.8780164,0.57719,0.023801649,46.52499626,46.52499626
244.8095143,0.578105,0.023839381,47.98461542,47.98461542
244.9257246,0.576715,0.023782062,47.59215588,47.59215588
244.801235,0.587983,0.024246722,46.39647939,46.39647939
244.8359369,0.585189,0.024131505,48.31953654,48.31953654
244.8225754,0.583817,0.024074928,48.14227933,48.14227933
244.8438336,0.581392,0.023974928,46.11877284,46.11877284
244.7927645,0.597498,0.024639093,48.68020421,48.68020421
244.8540529,0.593613,0.024478887,49.05652492,49.05652492
244.781097,0.595195,0.024544124,49.17748515,49.17748515
244.8129845,0.579652,0.023903175,48.49501253,48.49501253
244.8198702,0.59271,0.024441649,48.49015469,48.49015469
244.7733916,0.592122,0.024417402,47.23861304,47.23861304
244.7962073,0.591805,0.02440433,48.03233021,48.03233021
244.8232038,0.596882,0.024613691,47.44663657,47.44663657
244.8586434,0.596011,0.024577773,48.52405162,48.52405162
244.7763152,0.593565,0.024476907,49.72091558,49.72091558
244.7681453,0.593277,0.024465031,48.7598728,48.7598728
244.792054,0.594103,0.024499093,48.97939321,48.97939321
244.7571335,0.597867,0.024654309,49.44579988,49.44579988
244.8192143,0.591777,0.024403175,50.83071624,50.83071624
244.7235793,0.591864,0.024406763,50.36215054,50.36215054
244.8623323,0.588288,0.024259299,49.10332212,49.10332212
244.7756868,0.6011,0.024787629,49.95905772,49.95905772
244.7713422,0.593306,0.024466227,49.23329634,49.23329634
244.7931471,0.591772,0.024402969,51.90084454,51.90084454
244.7136605,0.598204,0.024668206,50.56877069,50.56877069
244.7426516,0.596154,0.02458367,48.41507407,48.41507407
244.7977101,0.602468,0.024844041,49.55477744,49.55477744
244.7884472,0.597696,0.024647258,48.36314915,48.36314915
244.7453841,0.602448,0.024843216,51.89398959,51.89398959
244.7793483,0.613981,0.025318804,50.39566964,50.39566964
244.7765612,0.621323,0.025621567,50.18975117,50.18975117
244.7825999,0.614123,0.02532466,48.88936123,48.88936123
244.7652216,0.614701,0.025348495,49.58619147,49.58619147
244.7841572,0.611185,0.025203505,51.59534035,51.59534035
244.682265,0.620785,0.025599381,50.76189684,50.76189684
244.7820534,0.623126,0.025695918,51.3405736,51.3405736
244.7360664,0.617836,0.025477773,51.72212998,51.72212998
244.7050262,0.618045,0.025486392,51.0805172,51.0805172
244.7382799,0.619422,0.025543175,51.77427081,51.77427081
244.7421052,0.610965,0.025194433,51.4654201,51.4654201
244.7089879,0.621536,0.025630351,51.17017135,51.17017135
244.7216392,0.626198,0.025822598,51.37911247,51.37911247
244.6708433,0.622647,0.025676165,51.72067263,51.72067263
244.7535268,0.620409,0.025583876,51.93851979,51.93851979
244.7380064,0.619955,0.025565155,53.67735683,53.67735683
244.6733298,0.628422,0.025914309,51.73092807,51.73092807
244.6588757,0.614508,0.025340536,52.37815436,52.37815436
244.7475974,0.626054,0.02581666,52.26550644,52.26550644
244.7047529,0.621017,0.025608948,51.0776025,51.0776025
244.7513138,0.617105,0.025447629,52.23749289,52.23749289
244.6964192,0.627521,0.025877155,52.14611151,52.14611151
244.7051903,0.623583,0.025714763,52.63599774,52.63599774
244.6342563,0.626376,0.025829938,50.39070384,50.39070384
244.7106824,0.6248,0.025764948,51.05741547,51.05741547
244.7568333,0.631591,0.02604499,52.61645843,52.61645843
244.631469,0.630355,0.025994021,52.10017793,52.10017793
244.6611156,0.623466,0.025709938,52.41890625,52.41890625
244.7761514,0.628359,0.025911711,51.98407554,51.98407554
244.6203482,0.634643,0.026170845,51.94451113,51.94451113
244.6120687,0.63292,0.026099794,52.3773987,52.3773987
244.6321521,0.63792,0.026305979,53.29785153,53.29785153
244.6062487,0.643414,0.026532536,50.48338065,50.48338065
244.6439836,0.641202,0.02644132,50.8240772,50.8240772
244.6857078,0.639634,0.02637666,52.00507221,52.00507221
244.628436,0.65129,0.02685732,52.39332162,52.39332162
244.6206213,0.657716,0.027122309,50.98875799,50.98875799
244.6020952,0.660383,0.027232289,51.62551293,51.62551293
244.6044452,0.661104,0.027262021,51.22889724,51.22889724
244.6578371,0.665436,0.02744066,51.25518356,51.25518356
244.5738421,0.661929,0.027296041,51.86597604,51.86597604
244.5684319,0.657749,0.02712367,50.56920249,50.56920249
244.5780226,0.666317,0.02747699,51.30154895,51.30154895
244.5743612,0.658778,0.027166103,50.38098816,50.38098816
244.5590596,0.664009,0.027381814,50.93910006,50.93910006
244.5486491,0.663207,0.027348742,50.23541487,50.23541487
244.4695998,0.659563,0.027198474,49.90141135,49.90141135
244.5626938,0.662467,0.027318227,49.94664324,49.94664324
244.4974159,0.662399,0.027315423,51.59960445,51.59960445
244.5102584,0.664885,0.027417938,51.398166,51.398166
244.5132094,0.663987,0.027380907,50.13690866,50.13690866
244.5326643,0.659064,0.027177897,49.800962,49.800962
244.4103607,0.664032,0.027382763,50.77495903,50.77495903
244.5038917,0.662854,0.027334186,50.87924067,50.87924067
244.4983177,0.661952,0.02729699,49.93250153,49.93250153
244.6114129,0.66239,0.027315052,49.59229076,49.59229076
244.4042401,0.66869,0.027574845,50.547828,50.547828
244.572066,0.666951,0.027503134,52.2244307,52.2244307
244.5940074,0.665923,0.027460742,50.32469119,50.32469119
244.4895739,0.657937,0.027131423,49.19308422,49.19308422
244.546709,0.67087,0.027664742,50.92587594,50.92587594
244.502553,0.662145,0.027304948,51.94645427,51.94645427
244.4865681,0.664292,0.027393485,50.47555412,50.47555412
244.5294674,0.664277,0.027392866,51.15824265,51.15824265
244.4474671,0.661739,0.027288206,53.44579976,53.44579976
244.4937818,0.662669,0.027326557,53.51758785,53.51758785
244.4314824,0.67029,0.027640825,50.86191438,50.86191438
244.472223,0.680158,0.028047753,52.57505883,52.57505883
244.501132,0.676741,0.027906845,53.07665786,53.07665786
244.4418929,0.695658,0.028686928,53.24225624,53.24225624
244.5125263,0.706162,0.029120082,54.54377968,54.54377968
244.4081201,0.710615,0.029303711,56.67324107,56.67324107
244.4805021,0.724539,0.029877897,54.63807576,54.63807576
244.538785,0.72791,0.030016907,54.11817887,54.11817887
244.4588887,0.739433,0.030492082,56.20111294,56.20111294
244.4072457,0.737916,0.030429526,55.72531445,55.72531445
245.2605297,0.737635,0.030417938,55.71851347,55.71851347
247.6692243,0.74792,0.030842062,58.30482778,58.30482778
250.4067151,0.753554,0.031074392,57.28182054,57.28182054
251.5473165,0.741046,0.030558598,57.18871193,57.18871193
251.4023881,0.744992,0.03072132,58.1275166,58.1275166
251.2914783,0.746488,0.03078301,59.12661247,59.12661247
251.1906513,0.749638,0.030912907,57.28009331,57.28009331
251.1430249,0.750997,0.030968948,57.8955817,57.8955817
251.0860263,0.748814,0.030878928,59.35741388,59.35741388
251.0472803,0.748328,0.030858887,57.67006995,57.67006995
251.0240546,0.753285,0.031063299,59.14399275,59.14399275
250.9866202,0.753556,0.031074474,58.93073355,58.93073355
250.962165,0.759351,0.031313443,58.22040931,58.22040931
250.9295396,0.770559,0.031775629,59.19159958,59.19159958
250.8527854,0.776211,0.032008701,60.09515793,60.09515793
250.8726776,0.768641,0.031696536,60.06158485,60.06158485
250.8291225,0.780406,0.032181691,59.53499494,59.53499494
250.7852667,0.781501,0.032226845,61.11902879,61.11902879
250.7621505,0.778902,0.03211967,57.56465481,57.56465481
250.7269291,0.776159,0.032006557,58.4615741,58.4615741
250.668209,0.778163,0.032089196,59.66281012,59.66281012
250.7935187,0.774324,0.031930887,59.75052113,59.75052113
250.6642745,0.784153,0.032336206,59.73983388,59.73983388
250.5920286,0.791162,0.032625237,59.86322303,59.86322303
250.6485357,0.805986,0.033236536,60.33729429,60.33729429
250.6473335,0.801725,0.033060825,59.75780789,59.75780789
250.6441364,0.815283,0.033619918,61.84765089,61.84765089
250.6118665,0.828592,0.034168742,61.23788395,61.23788395
250.5711258,0.831811,0.034301485,62.80831585,62.80831585
250.5306037,0.822901,0.033934062,63.24670897,63.24670897
250.5260133,0.832408,0.034326103,62.56445225,62.56445225
250.5368337,0.832983,0.034349814,64.80904446,64.80904446
250.4446958,0.846119,0.034891505,63.12591067,63.12591067
250.4696704,0.851258,0.035103423,63.17632426,63.17632426
250.4374823,0.860114,0.035468619,64.4114572,64.4114572
250.4348044,0.878015,0.036206804,64.68587122,64.68587122
250.4431385,0.876514,0.036144907,65.78331137,65.78331137
250.389528,0.885394,0.036511093,64.96233632,64.96233632
250.3229658,0.890007,0.03670132,66.24178357,66.24178357
250.3383221,0.905688,0.037347959,66.85192834,66.85192834
250.3376117,0.915242,0.037741938,69.0089175,69.0089175
250.3243594,0.93106,0.038394227,67.64262285,67.64262285
250.2697379,0.943878,0.038922804,66.77776531,66.77776531
250.2541904,0.954916,0.039377979,67.45662154,67.45662154
250.2468948,0.963113,0.039716,67.58189985,67.58189985
250.1989678,0.969123,0.039963835,67.59339674,67.59339674
250.2358284,0.972957,0.040121938,67.59350469,67.59350469
250.1886119,0.979887,0.040407711,68.61527048,68.61527048
250.1847592,0.983399,0.040552536,68.22577962,68.22577962
250.1263396,0.988128,0.040747546,70.24847648,70.24847648
250.1663152,0.993078,0.04095167,67.53871904,67.53871904
250.1216944,0.993029,0.040949649,67.8326184,67.8326184
250.1140437,0.988091,0.040746021,68.96784176,68.96784176
250.1260117,0.992452,0.040925856,69.42690769,69.42690769
250.1176505,0.999021,0.041196742,69.13673268,69.13673268
250.0378086,1.004193,0.041410021,67.94326921,67.94326921
250.0824841,0.999639,0.041222227,68.46278827,68.46278827
250.1053,0.985678,0.040646515,68.93259542,68.93259542
250.0394209,1.000094,0.04124099,70.43366815,70.43366815
250.0509791,1.003576,0.041384577,71.16757991,71.16757991
250.0537115,1.00014,0.041242887,69.15443681,69.15443681
250.0240918,0.997095,0.04111732,68.67356457,68.67356457
249.8985089,1.000878,0.04127332,68.56199617,68.56199617
249.9725035,1.002424,0.041337072,68.13024209,68.13024209
249.9762741,0.998188,0.041162392,68.32989934,68.32989934
249.9766568,0.992361,0.040922103,68.407139,68.407139
249.9002033,0.99374,0.040978969,67.47103313,67.47103313
249.851156,1.003935,0.041399381,67.14517998,67.14517998
249.7451374,1.002381,0.041335299,68.87527291,68.87527291
249.9774492,1.00315,0.04136701,67.04694365,67.04694365
249.7476784,0.995643,0.041057443,66.64833085,66.64833085
249.6137888,0.996277,0.041083588,65.37131252,65.37131252
249.4219441,1.001347,0.04129266,62.14241386,62.14241386
249.80312,0.99937,0.041211134,63.62060076,63.62060076
248.9081093,0.994021,0.040990557,63.72758121,63.72758121
250.0163307,1.006181,0.041492,62.50362129,62.50362129
249.8102523,0.997314,0.041126351,61.98448007,61.98448007
250.0601599,0.99423,0.040999175,61.62915602,61.62915602
249.744618,1.000197,0.041245237,60.2463987,60.2463987
249.6817996,1.001079,0.041281608,61.30141371,61.30141371
249.707375,1.002358,0.041334351,59.10917822,59.10917822
249.9772033,1.001468,0.041297649,59.99055243,59.99055243
249.7443997,0.998015,0.041155258,56.85778503,56.85778503
249.810361,1.000235,0.041246804,58.39070361,58.39070361
249.4856652,0.998388,0.041170639,57.63034361,57.63034361
249.6419338,1.001971,0.041318392,57.83977051,57.83977051
249.5306685,0.998086,0.041158186,57.15670416,57.15670416
249.5573099,0.994265,0.041000619,57.96709991,57.96709991
249.4811568,0.991331,0.040879629,56.08922068,56.08922068
249.6161392,0.995131,0.04103633,54.491315,54.491315
249.5321714,0.997832,0.041147711,55.24363257,55.24363257
249.5871206,1.000535,0.041259175,53.1219977,53.1219977
249.525231,0.993908,0.040985897,53.71972799,53.71972799
249.501158,0.99144,0.040884124,53.9858297,53.9858297
249.5293297,0.997729,0.041143464,51.53979904,51.53979904
