Axial load (kN),lat disp top (mm),Lat drift,Lat Load Act 1(kN),Lat load Act 2 (kN),Total Load (kN)
238.3075086,-0.276528,-0.011403216,3.81350845,3.66823833,7.48174678
238.3642611,-0.258501,-0.010659835,6.49399118,-3.24457737,3.24941381
238.326663,-0.245916,-0.010140866,7.51860028,-2.06054985,5.45805043
238.2220384,-0.232424,-0.009584495,6.65075298,-2.86425812,3.78649486
238.1881016,-0.208463,-0.008596412,5.54611719,2.87510205,8.42121924
238.1214577,-0.219173,-0.009038062,6.77281597,1.165807,7.93862297
238.1118396,-0.203928,-0.008409402,8.56861631,-1.78098733,6.78762898
238.0476822,-0.215554,-0.008888825,6.83449893,1.74437633,8.57887526
238.0069964,-0.217912,-0.008986062,4.7547307,2.82370388,7.57843458
237.9720487,-0.215217,-0.008874928,5.28255027,0.50850873,5.791059
237.951091,-0.198253,-0.008175381,6.48610509,3.54066074,10.02676583
237.9064432,-0.203081,-0.008374474,7.6644587,1.5124387,9.1768974
237.831684,-0.183025,-0.007547423,8.98321904,-0.29448567,8.68873337
237.8696648,-0.200274,-0.008258722,9.26677548,1.46559566,10.73237114
237.8363838,-0.18787,-0.007747216,11.55333077,-0.37793971,11.17539106
237.7994688,-0.164186,-0.006770557,10.28723581,1.58426696,11.87150277
237.8241972,-0.159651,-0.006583546,12.34207713,5.46098741,17.80306454
238.1343275,-0.139396,-0.005748289,11.86637434,2.49083955,14.35721389
242.1835394,-0.110736,-0.004566433,12.17194327,4.29099921,16.46294248
244.4173011,-0.099515,-0.004103711,13.81468484,4.1911943,18.00587914
245.3785433,-0.086515,-0.003567629,13.53212273,4.36680471,17.89892744
245.1088796,-0.073049,-0.00301233,14.86075783,3.46658891,18.32734674
246.5844752,-0.053597,-0.002210186,14.90238268,3.4017973,18.30417998
247.5906393,-0.038732,-0.001597196,15.42732212,4.02404827,19.45137039
247.366006,-0.036874,-0.001520577,17.01427816,2.19336245,19.20764061
247.204929,-0.030465,-0.001256289,16.13638467,3.6783344,19.81471907
247.0160358,-0.009813,-0.00040466,16.68957689,5.0276383,21.71721519
246.8110486,-0.01268,-0.000522887,13.15293885,6.50608351,19.65902236
246.6780336,-0.023719,-0.000978103,13.70451956,5.99539919,19.69991875
246.6372387,-0.00748,-0.000308454,14.38059767,4.90087655,19.28147422
246.2914217,-0.014261,-0.000588082,16.06294115,5.95052777,22.01346892
246.4124413,-0.017595,-0.000725567,13.94521681,6.47521741,20.42043422
248.0135384,-0.015453,-0.000637237,13.65500862,5.74850442,19.40351304
249.7066921,-0.013881,-0.000572412,13.20543279,6.11427445,19.31970724
249.4965675,-0.01731,-0.000713814,16.48813867,4.43829304,20.92643171
249.4006318,-0.019858,-0.000818887,15.68739172,4.06110119,19.74849291
