Axial load (kN),lat disp top (mm),Lat drift,Lat Load_Resultant (kN),Total Load (kN)
249.9203413,-1.103973944,-0.045524699,-70.02683991,-70.02683991
249.843915,-1.095242839,-0.045164653,-71.31146062,-71.31146062
249.8227933,-1.098620139,-0.045303923,-69.57746816,-69.57746816
249.8699005,-1.123274839,-0.046320612,-69.29961721,-69.29961721
249.8388874,-1.1271372,-0.046479885,-69.86409709,-69.86409709
249.8823878,-1.131697346,-0.046667932,-69.29765052,-69.29765052
249.8643537,-1.139980458,-0.047009503,-71.60306269,-71.60306269
249.8507734,-1.15511353,-0.047633548,-72.49133776,-72.49133776
249.826974,-1.159558127,-0.04781683,-71.11495065,-71.11495065
249.8312913,-1.186014047,-0.048907796,-73.07913337,-73.07913337
249.8029013,-1.200573687,-0.049508193,-72.51102625,-72.51102625
249.8073277,-1.223422629,-0.050450418,-73.52601065,-73.52601065
249.8329579,-1.227861151,-0.05063345,-72.88149466,-72.88149466
249.8058795,-1.243635353,-0.051283932,-74.4042484,-74.4042484
249.7791564,-1.265409654,-0.052181841,-74.20443533,-74.20443533
249.8718406,-1.273732829,-0.052525065,-74.95922361,-74.95922361
249.7592368,-1.30056349,-0.053631484,-76.13789495,-76.13789495
249.7994311,-1.323087364,-0.054560304,-76.23377014,-76.23377014
249.7854136,-1.323648478,-0.054583442,-75.76896933,-75.76896933
249.7903593,-1.346882142,-0.055541532,-77.58237408,-77.58237408
249.8099509,-1.353765689,-0.055825389,-77.0320263,-77.0320263
249.8099509,-1.383750463,-0.057061875,-78.68463863,-78.68463863
249.79025,-1.394403167,-0.057501162,-78.51512791,-78.51512791
249.7867251,-1.421411788,-0.058614919,-78.98895135,-78.98895135
249.7986113,-1.451092796,-0.059838878,-78.27920482,-78.27920482
249.8134757,-1.4463108,-0.059641682,-79.42469002,-79.42469002
249.8063441,-1.468153156,-0.060542398,-79.85062355,-79.85062355
249.7774622,-1.472977739,-0.06074135,-80.56569322,-80.56569322
249.743744,-1.485608969,-0.061262226,-81.09162621,-81.09162621
249.7475966,-1.500608963,-0.061880782,-82.31286703,-82.31286703
249.7946766,-1.521635374,-0.06274785,-82.74436362,-82.74436362
249.7779267,-1.542426844,-0.063605231,-83.67472342,-83.67472342
249.8360456,-1.572214139,-0.064833573,-82.34985131,-82.34985131
249.7726258,-1.591575653,-0.065631986,-83.33149819,-83.33149819
249.8265094,-1.607968007,-0.066307959,-84.2225382,-84.2225382
249.8244875,-1.61433456,-0.066570497,-85.02354674,-85.02354674
249.7803039,-1.621951645,-0.066884604,-85.78649247,-85.78649247
249.8097323,-1.646087649,-0.067879903,-86.32254717,-86.32254717
249.7782819,-1.65771536,-0.068359396,-85.62309814,-85.62309814
249.823695,-1.675254334,-0.069082653,-84.25400854,-84.25400854
249.7853316,-1.68467963,-0.069471325,-87.57548364,-87.57548364
249.8061528,-1.702587729,-0.070209803,-85.92008027,-85.92008027
249.7523511,-1.716341781,-0.070776981,-87.66729022,-87.66729022
249.7993763,-1.726568133,-0.071198686,-87.63697218,-87.63697218
249.8541617,-1.747197951,-0.0720494,-88.41540286,-88.41540286
249.8303348,-1.764762355,-0.072773705,-90.44162686,-90.44162686
249.8293785,-1.776668499,-0.07326468,-91.67184977,-91.67184977
249.8100329,-1.804529749,-0.074413598,-90.6988689,-90.6988689
249.8103607,-1.828467733,-0.075400731,-88.65738752,-88.65738752
249.7922446,-1.848117927,-0.076211049,-90.83225698,-90.83225698
249.8356631,-1.86169214,-0.07677081,-91.71418158,-91.71418158
249.802464,-1.867162682,-0.076996399,-92.34593107,-92.34593107
249.8402809,-1.882099742,-0.07761236,-93.50168858,-93.50168858
249.8465382,-1.911053451,-0.078806328,-92.35832962,-92.35832962
249.8314005,-1.91795894,-0.07909109,-91.83864115,-91.83864115
249.8309359,-1.938259273,-0.079928217,-94.3945479,-94.3945479
249.8699825,-1.974164906,-0.081408862,-94.59171781,-94.59171781
249.8470301,-1.990881097,-0.08209819,-94.84770341,-94.84770341
249.8456911,-2.023263091,-0.08343353,-95.35829519,-95.35829519
249.836155,-2.030223301,-0.083720548,-95.92378892,-95.92378892
249.8926891,-2.042186531,-0.084213878,-95.52470197,-95.52470197
249.880885,-2.064170194,-0.08512042,-97.57852325,-97.57852325
249.8562657,-2.080004297,-0.085773373,-98.65244578,-98.65244578
249.839953,-2.095729073,-0.086421817,-98.04778688,-98.04778688
249.8817593,-2.104874034,-0.086798929,-96.97211163,-96.97211163
249.9220901,-2.114035781,-0.087176733,-99.42434416,-99.42434416
249.8579324,-2.127495265,-0.087731764,-99.41999872,-99.41999872
249.8846284,-2.131013859,-0.08787686,-99.90727882,-99.90727882
249.9147945,-2.130451856,-0.087853685,-100.1777409,-100.1777409
249.9024439,-2.144725309,-0.088442281,-100.8792321,-100.8792321
249.9169258,-2.160691921,-0.089100698,-100.6857495,-100.6857495
249.9100127,-2.183334245,-0.090034402,-100.9941408,-100.9941408
249.9172264,-2.202745255,-0.090834856,-100.6778861,-100.6778861
249.8946018,-2.197502171,-0.090618646,-102.3846812,-102.3846812
249.9579943,-2.214269754,-0.091310093,-101.5044278,-101.5044278
249.8987824,-2.226354077,-0.091808416,-104.4747797,-104.4747797
249.9482942,-2.235613355,-0.092190241,-101.9317724,-101.9317724
249.9483487,-2.252195463,-0.09287404,-101.9463459,-101.9463459
249.9272817,-2.256452838,-0.093049602,-103.140843,-103.140843
249.9123353,-2.249519299,-0.092763682,-103.158526,-103.158526
249.9451791,-2.260167625,-0.093202789,-103.4598429,-103.4598429
249.9308612,-2.272153104,-0.093697035,-103.4347701,-103.4347701
249.9733233,-2.272256416,-0.093701296,-103.3933344,-103.3933344
249.9291671,-2.274691373,-0.093801706,-103.1236175,-103.1236175
249.9783783,-2.279115604,-0.093984149,-103.8480772,-103.8480772
249.9413265,-2.290379611,-0.094448644,-102.7174796,-102.7174796
249.9191664,-2.281371676,-0.094077183,-102.4225329,-102.4225329
249.8912955,-2.286097382,-0.094272057,-104.1439447,-104.1439447
249.9341675,-2.288314972,-0.094363504,-105.1139562,-105.1139562
249.955863,-2.292209324,-0.094524096,-104.1142281,-104.1142281
249.9206146,-2.309948982,-0.095255628,-106.2445525,-106.2445525
249.9506714,-2.306008688,-0.095093142,-105.6628589,-105.6628589
249.9682956,-2.314905038,-0.095460002,-105.618936,-105.618936
249.9819578,-2.315635391,-0.095490119,-105.1681898,-105.1681898
249.9944723,-2.321947661,-0.095750419,-107.0162692,-107.0162692
249.9399056,-2.345889826,-0.096737725,-105.2866588,-105.2866588
249.9390858,-2.36003834,-0.097321169,-104.4771149,-104.4771149
249.91862,-2.37748697,-0.0980407,-104.988182,-104.988182
249.9437309,-2.386629934,-0.098417729,-106.1627197,-106.1627197
249.9569833,-2.400372679,-0.09898444,-107.8624632,-107.8624632
249.9396596,-2.409393246,-0.099356423,-108.2983136,-108.2983136
249.97887,-2.424716516,-0.09998831,-108.0782593,-108.0782593
249.9847449,-2.43704789,-0.10049682,-108.5310371,-108.5310371
249.9239481,-2.457462534,-0.101338661,-107.0712429,-107.0712429
249.9752906,-2.470698151,-0.10188446,-108.6946709,-108.6946709
250.0388471,-2.502120028,-0.103180207,-107.3499358,-107.3499358
250.024256,-2.504596109,-0.103282314,-109.6718402,-109.6718402
250.0186544,-2.526581119,-0.104188912,-110.4014103,-110.4014103
250.0434649,-2.539810301,-0.104734445,-110.3933909,-110.3933909
249.983324,-2.547813423,-0.105064471,-111.2109382,-111.2109382
250.055187,-2.565169904,-0.105780202,-112.2310618,-112.2310618
250.050296,-2.577135283,-0.10627362,-109.8551615,-109.8551615
249.9995546,-2.591360593,-0.106860231,-112.5742422,-112.5742422
250.0561707,-2.615299543,-0.107847404,-112.0758562,-112.0758562
249.9775585,-2.628577019,-0.108394929,-112.9248691,-112.9248691
250.0389291,-2.649713879,-0.109266552,-114.0672883,-114.0672883
250.00338,-2.661223626,-0.10974118,-114.3166225,-114.3166225
250.0443666,-2.695563558,-0.11115726,-114.1438845,-114.1438845
249.977258,-2.705388168,-0.111562399,-113.9947943,-113.9947943
250.110874,-2.726617031,-0.112437816,-115.2998753,-115.2998753
250.0441479,-2.73960728,-0.112973496,-115.6216032,-115.6216032
250.0502414,-2.745251587,-0.113206251,-117.1204191,-117.1204191
250.0196107,-2.78511343,-0.114850038,-113.7881322,-113.7881322
250.0979224,-2.798388189,-0.115397451,-117.0036125,-117.0036125
250.0899437,-2.818957016,-0.11624565,-118.9922737,-118.9922737
250.0279173,-2.829363166,-0.11667477,-117.7256913,-117.7256913
